pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,819.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,828.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,834.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,840.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,834.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,826.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,817.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,819.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,828.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,835.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,840.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,834.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,826.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,817.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,819.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,829.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,835.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,841.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,834.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,827.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,817.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,820.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,830.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,840.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,844.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,836.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,829.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,819.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,820.93
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,832.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,840.36
